Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",-,-
Angola,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,14.235,131.312
Aruba,-,-
Austrália,-,-
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,-,-
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,3.375,8.958
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,-,-
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,1.146,1.619
Chipre,-,-
Cingapura,-,-
Colômbia,-,-
Congo,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,-,-
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,-,-
Equador,-,-
Espanha,960,3.799
Estados Unidos,86.325,330.287
Falkland (Malvinas),-,-
Filipinas,-,-
Finlândia,-,-
França,-,-
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,-,-
Hong Kong,-,-
Hungria,-,-
Ilha de Man,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Israel,-,-
Itália,-,-
Iugoslâvia,-,-
Jamaica,-,-
Japão,4.001.175,14.015.433
Líbano,-,-
Libéria,-,-
Líbia,-,-
Luxemburgo,-,-
Malásia,18.550,72.160
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,61.932,243.124
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,-,-
Noruega,-,-
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,12.575,31.489
Panamá,-,-
Paquistão,-,-
Paraguai,14.707,26.178
Peru,11.925,47.343
Polônia,379,1.708
Porto Rico,74.200,293.092
Portugal,-,-
Quênia,-,-
Reino Unido,-,-
República Centro Africana,-,-
República Dominicana,38.160,151.549
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,41.000,144.320
Tailândia,-,-
Taiwan (Formosa),-,-
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,18.550,71.232
Turquia,-,-
Uruguai,241,905
Vanuatu,-,-
Venezuela,52.680,163.175
Total,4.452.115,15.737.683
